source_fullname,source_shortname,base_url,pages_url,num_pages,save_locally,anti_robot,load_more_button,alt_source_domain
Car Magazine,www.carmag.co.za,https://www.carmag.co.za/,https://www.carmag.co.za/,1,False,True,False,
City Vision,cityvision.co.za,https://cityvision.co.za/,https://cityvision.co.za/,1,False,True,False,
False Bay Echo,falsebayecho.co.za,https://falsebayecho.co.za/,https://falsebayecho.co.za/,1,False,True,False,
ISS Africa,issafrica.org,https://issafrica.org/,https://issafrica.org/,1,False,True,False,
Northern News,northernnews.co.za,https://northernnews.co.za/,https://northernnews.co.za/,1,False,True,False,
Observatory Civic Association,obs.org.za,https://obs.org.za/,https://obs.org.za/,1,False,True,False,
People's Post,peoplespost.co.za,https://peoplespost.co.za/,https://peoplespost.co.za/,1,False,True,False,
Plainsman,plainsman.co.za,https://plainsman.co.za/,https://plainsman.co.za/,1,False,True,False,
Polity,www.polity.org.za,https://www.polity.org.za/,https://www.polity.org.za/,1,False,True,False,
Southern Suburbs Tatler,southernsuburbstatler.co.za,https://southernsuburbstatler.co.za/,https://southernsuburbstatler.co.za/,1,False,True,False,
TechFinancials,techfinancials.co.za,https://techfinancials.co.za/,https://techfinancials.co.za/,1,False,True,False,
Top Gear SA,www.topgear.co.za,https://www.topgear.co.za/,https://www.topgear.co.za/,1,False,True,False,
TopAuto,topauto.co.za,https://topauto.co.za/,https://topauto.co.za/,1,False,True,False,
TygerBurger,tygerburger.co.za,https://tygerburger.co.za/,https://tygerburger.co.za/,1,False,True,False,
